,Name,Gender,Colors: ,Price,Description,Sizes,Product ID
0,Nike Air Max III,Women's,White/Pink/Blue,140.0,"Retro style meets unbeatable comfort in the Nike Air Max III. Recreating all the details and OG colorways of the iconic Air Max 90, the Air Max III is perfect for any retro fan. With Max Air in the heel and foam cushioning in the midsole, you'll feel soft, springy energy return in every step. Experience the comfort and throwback flair of the Air Max 90 all over again with the Air Max III.   Heel Max Air unit provides unmatched cushioning and comfort. Low top design gives a sleek look while the padded collar keeps you cozy. The beloved rubber Waffle outsole provides traction and durability. Upper made from leather and breathable synthetic overlays. ",07.508.509.5,D8856100Retro
1,Nike Victori One Slide,Women's,White/Black,30.0,"A new take on a classic design, the Nike Victori One Slide is perfect for spring and summer. Soft foam, a contoured footbed, and a comfy padded strap ensure all-day comfort.  Padded strap provides a better fit and a comfortable feel. Rolled top edge on the strap feels smooth. Softer foam underfoot ensures all-day comfort. Contoured footbed delivers the supportive feel you need with every step. Outsole has a new pattern that gives better traction. ",05.006.007.008.009.010.011.012.0,9677100A
2,Nike Daybreak,Women's,White/Black/Orange,90.0,"Vintage vibes are absolutely yours with Nike’s iconic Daybreak.  Nylon upper includes synthetic leather and suede overlays. Foam midsole offers cushioning and lightweight support. Rubber waffle outsole gives you traction, durability, and grip. ",05.005.506.006.507.007.508.008.509.009.510.011.012.0,J5996100Vintage
3,adidas Choigo,Women's,White/Orange,100.0,"Stand out from the crowd every time you hit the streets in the adidas Choigo. Drawing inspiration from the '80s track icon, these shoes bring the utmost comfort to your feet. With spiked rubber outsoles and a high-profile EVA midsole construction that offers excellent traction, these adidas sneakers take you a long way in your explorations. Adidas Choigo features:  Shiny textile upper with iconic triangles ensures a durable, comfortable, and stylish fit. A removable lace toggle enables a customizable fit. Leather details and iridescent heel tabs add a splash of style. ",06.006.507.007.508.008.509.009.510.011.0,FY6518Stand
4,Nike React Infinity Run Flyknit 2 CP,Women's,Platinum Tint/Black/Wheat,160.0,"Step up your stamina in the Nike React Infinity Run Flyknit 2 CP. Featuring Nike React technology, its lightweight foam delivers a smooth, energetic ride. The advanced Flyknit upper enhances breathability where you need it most. Less material between the insole and midsole keeps you close to the foam, for better responsiveness and optimal performance. Nike React Infinity Run Flyknit 2 CP features:  Flywire technology offers extra support and stability through the midfoot. Cushioned collar provides soft comfort. Loop at the heel offers easy on and off. Increased rubber at the outsole helps deliver traction and durability. Wide shape provides a more stable ride, releasing energy with every step. ",05.005.506.009.011.012.0,J5932001Step
5,Nike Air Max Verona 2.0,Women's,Plum Dust/Black/Dark Citron,140.0,"Comfort meets style in the classy Nike Air Max Verona 2.0. Similar to its predecessor, the Nike Air Max Verona, these sneakers bring a city-ready look with the new detailed patterning on the outsole. Engineered specifically for women, these kicks offer an ultra-comfortable underfoot feel with an overall lifted stance that provides on-the-go comfort. With Max Air cushioned heels and flexible foam midsoles that deliver a snug and stylish fit, these silhouettes take you places with unbelievable ease. Nike Air Max Verona 2.0 features:  Premium leather and textile upper offer a classy finish and comfortable feel. Unique lacing system features 2 separate laces of durable tech-chord providing a perfect fit. Partial rubber outsole ensures excellent traction and durability. ",05.005.506.006.507.007.508.008.509.009.510.011.0,B5268003Comfort
6,Nike Air Max 270,Women's,White/Pink/Black,150.0,"Maximum Air Making its debut on February 2, 2018, the Nike Air Max 270 was meant to be the newest lifestyle shoe from Nike. Since then, Nike has continued to release the Air Max 270 in an exciting range of colors. What makes the Nike Air Max 270 so unique is that it's been gifted the highest Air Max unit ever. That means you’re getting the most cushioned underfoot of all when you show up in these cool kicks. Big Air, Even Bigger StyleIt’s important to remember the purpose of the Nike Air Max 270. This sneaker isn't built for performance running, but rather, for making a stylish statement. Casual wear is the name of the game with the Nike Air Max 270. Once you take a look at the variety of fresh colorways, you’re going to want to add the Nike Air Max 270 into your wardrobe rotation ASAP. Choose between bright and bold hues, or go for the more classic colors depending on your OOTD. It’s not just the color options that have us hooked on the Nike Air Max 270, it’s also got a feminine silhouette balanced out perfectly with sporty feels for pre- and post-gym style perfection. Nike Women's Air Max 270 features:• Mesh upper that's breathable and lightweight. • Interior neoprene stretch bootie for a snug fit.• Durable rubber toe tip.• Extra cushion provided by large Air Max unit in heel. • Structured leather or synthetic leather heel panel.• Cushion and support provided by dual-density foam sole.• Grip and durability thanks to the rubber waffle tread around the perimeter of the outsole.",05.005.506.006.507.007.508.008.509.009.510.010.511.011.512.0,D5997100Maximum
7,PUMA Cruise Rider,Women's,Beige/Green,85.0,"Stay faster, forever with the exceptionally sporty PUMA Cruise Rider. Inspired by playful graphics from vintage cars, this bold design features a modern-day style without sacrificing power or performance. Energize your daily workout sessions with old-school spunk from the PUMA Cruise Rider! PUMA Cruise Rider features:  Breathable textile upper offers enhanced breathability and lightweight protection. Responsive IMEVA midsole ensures optimal energy return with minimal effort. Durable rubber outsole offers superior grip and traction for long-lasting wear. ",05.506.006.507.007.508.008.509.009.510.010.511.0,375073Stay
8,Vans Sk8-Hi Tapered,Women's,White/White,75.0,A Vans classic gets revamped to form the Sk8-Hi Tapered.  Canvas upper features a narrower fitted silhouette. Vulcanized midsole supports your stride. Rubber outsole provides traction and signature style. ,05.005.506.006.507.007.508.008.509.009.510.010.511.0,A4U16L5RA
9,Vans Old Skool Platform,Women's,White/White | Tonal Check,75.0,"Skater Girl StyleIf you’re a true-blue skater at heart, you know your uniform starts with a pair of Vans Women’s Old Skool Platform shoes. The iconic design celebrates retro style and the signature details that set Vans footwear apart. The sturdy upper, secure body, and reliable outsole all contribute to a shoe as flexible and comfortable as it is stylish.The Ultimate Forever ShoeFew shoes possess the endurance of the Vans Women’s Old Skool Platform. It’s simply there—woven into the cultural fabric generation after generation, oozing nostalgia. Still, they continue to tap into the contemporary way to rock these kicks. They’re just as perfect with a pair of shorts and a tee or a dress as they are with your jeans and skateboard. Add in their unbeatable stability and accessibility, and you have a pair that promises to endure for a lifetime.Vans Women’s Old Skool Platform features:• Smooth canvas and suede upper for enduring comfort and style.• Signature side stripes add iconic character.• Padded collar provides reliable support.• Reinforced toecaps enhance durability.• Platform rubber waffle outsoles offer stability and superior traction.",05.005.506.006.507.007.508.008.509.009.510.010.511.0,A3B3U42BSkater
10,Converse Washed Florals Run Star Hike,Women's,White/White,130.0,"You've never seen the Converse Run Star Hike quite like this. With a head-turning faded paint print in soft, neutral colors, you'll always brighten the room. The redesigned closure provides easy on/off while also showing off the contrast zipper. Standout wraparound laces lock you in, while molded platform and exaggerated treads take your style to new heights.  High top ripstop platform sneaker with easy-on zip-front closure. OrthoLite cushioning for all-day comfort. Wraparound laces express your style. Soft, washed color prints – inspired by summer looks. Exaggerated, jagged outsole. ",05.005.506.006.507.007.508.008.509.009.510.0,170776CYou
11,Nike Air Max 97,Women's,Black/Multi,180.0," Ride the Wave The Women’s Nike Air Max 97 is regarded as one of the greatest Air Max running shoe designs. Originally released in 1997, the Air Max 97 was the first Nike shoe to feature a full-length visible Air unit from heel to toe. It’s truly a masterpiece for both its technology and style. The Air Max 97 was designed by Christian Tresser, the Nike designer behind many memorable Nike running shoes of the late 1990s. The AM97 is renowned for its bold wavy design across the upper, reflective accents, minimal branding, and large Air bubble that keeps you walking on air all day long. Just For YouThe women’s Air Max 97 is the iconic sneaker in colorways and sizing exclusively for the lady Air Max aficionados. With the popularity of the Air Max 97, Nike Sportswear makes sure that women of all styles can enjoy its legendary and always-chic look. This is a sneaker that remains timeless, whether you’re talking about its original metallic silver colorway or the latest color and material combinations imagined by today’s Nike Sportswear designers. A model that no sneaker rotation should ever be without, the women’s Air Max 97 is a culture and fashion icon. Pick up your pair at Foot Locker today, available in all of the latest women’s colorways. Women’s Nike Air Max 97 features: • Synthetic leather and mesh upper. Materials vary on select styles.• Reflective accents across the wavy paneling.• Tongue and heel tab loops for easier on/off access.• Mini Swoosh branding on the midfoot and tongue for a minimalist branding aesthetic.• Foam midsole with visible full-length Air Max unit. • Solid rubber outsole with waffle tread pattern.",05.005.506.006.507.007.508.008.509.009.510.010.511.011.512.0,W5595002
12,Nike Indy Iconclash Strapy Sky Top,Women's,Light Thistle/White,40.0,"Experience superior comfort for your low-to-medium impact routines with the Nike Indy Iconclash Strapy Sky Top. Featuring a highly resilient mix of breathable fabrics, this Dri-FIT equipped top keeps you fresh, even with max-volume workouts. Embrace a cool, everyday style when you hit the gym with this trendsetting essential! Nike Indy Iconclash Strapy Sky Top features:  Tight fit ensures a body-hugging feel. Made with at least 50% recycled polyester fibers. Low-cut and breathable mesh design at the back and center front offer improved ventilation and comfort. Removable pads with adjustable straps let you customize your fit. Machine wash. Body: 72% polyester/28% spandex; Panels: 82% polyester/18% spandex; Lining: 80% polyester/20% spandex; Insets lining/Pad top fabric/Pad back fabric: 100% polyester; Pad: 100% polyurethane. Imported. ",XSSMLXL,C7648569Experience
13,Birkenstock Arizona Platform,Women's,White/White,100.0,"Reach new heights with the Birkenstock Arizona Platform. Designed with a contoured footbed that supports feet arches and cradles the heel, these quality sandals generate comfort. •    Shock absorbing EVA sole provides flexibility and durability.•    Two-layer jute fiber design wicks moisture and adds strength.•    Classic cork latex base offers maximum support.•    Microfiber in lined footbed gives comfort.•    Features Birko-Flor upper, and latex footbed midsole.•    German made. Weight: 10 oz.",06.007.008.009.010.011.0,1018581Reach
14,Nike Air Force 1 Pixel,Women's,Black/White,100.0,"Stay on point in this reimagined off-court Nike Air Force 1 Pixel. Designed by and for women, its new logo and snakeskin accents add a little wilderness while the distorted sole and midsole have large, pixelated details for a modern touch. Its inverted Swoosh is an act of unflinching boldness.  Animal print accents add a hint of nature to your look; a little wild and a little bold. Soft, textured overlays pair with a new underlaid Swoosh for depth. Classic Air Force 1 midsole exaggeratesd with large, pixelated lugs. New sole mixes foam with rubber pods in high-wear areas for lightweight cushioning, durability, and traction. Floating eyestay and heel foxing add a fresh visual aesthetic. Removal of the toe perforations add a clean, streamlined look. New cube logo on tongue, heel, and dubree add a new chapter to the AF1 story. Luxe, pared-down upper features smooth leather while stitch-and-turn creates a seamless style. ",05.005.506.006.507.007.508.008.509.009.510.011.012.0,K6649001Stay
15,ASICS® Novablast,Women's,Hot Pink/Sour Yuzu | Noosa Pack,130.0,"Put some bounce in your step with the ASICS NovaBLAST running shoe, designed with a trampoline effect to push you forward. The built-up midsole has these soft, lightweight shoes higher off the ground for more comfort over more miles.  Reflective details help keep you visible in low light. Modern Tokyo design adds a worldwide flair. FLYTEFOAM BLAST midsole foam cushions every stride. AHARPLUS rubber outsole puts high-abrasion rubber where you need it. ORTHOLITE lasting is built for the long haul. Monofilament Engineered Jacquard Mesh is designed to move with your foot. Wt.: 7.8 oz. (women's size 7). ",05.005.506.006.507.007.508.008.509.009.510.011.0,2B089700Put
16,Converse Run Star Hike Ox,Women's,Citron Pulse/White/Black,100.0,Classic Converse style gets a modern twist with a burst of color and a unique lugged outsole. The Run Star Hike Ox is the perfect choice when you want to level up your look.  Low-top silhouette features an iconic canvas upper. Shows off a flash of color on the heel. Features eye-catching color blocking. Winged stitching on the tongue adds durability. Lugged platform outsole takes your look to new heights. ,05.005.506.006.507.007.508.008.509.009.510.010.511.0,170778CClassic
17,Converse Run Star Hike Platform High Top,Women's,White/White/White,110.0,"Converse’s Run Star Hike Hi sends you into the future with style and confidence. The canvas upper and rubber toe cap stay true to the original, while the jagged rubber outsole and rounded heel design are super bold and modern.  Features a classic canvas high-top silhouette. SmartFOAM sockliner provides comfortable cushioning. Shows off an exaggerated two-tone outsole with a rounded heel. Jagged platform design takes your look to new heights. Includes the iconic Chuck Taylor ankle patch. ",05.005.506.006.507.007.508.008.509.009.510.010.511.0,170777CConverse
18,Converse Run Star Hike Ox,Women's,Driftwood/Light Fawn/Black | Archive Gone Wild,100.0,Classic Converse style gets a modern twist with a burst of color and a unique lugged outsole. The Run Star Hike Ox is the perfect choice when you want to level up your look.  Low-top silhouette features an iconic canvas upper. Shows off a flash of color on the heel. Features eye-catching color blocking. Winged stitching on the tongue adds durability. Lugged platform outsole takes your look to new heights. ,05.005.506.006.507.007.508.008.509.009.510.010.511.0,170912CClassic
19,Vans Comfycush Authentic,Women's,Pink/Blue/White | Tie Dye,60.0,"It’s comfy, it’s cushioned. The Vans Comfycush Authentic is all things snug and supportive for your kids to rock in. Made with cold cement construction, these kicks are the perfect choice for a day spent outdoors. The breathable materials ensure that there’s ample ventilation, making it comfortable enough for all-day wear. Pair these kicks up with any outfit for the perfect casual-cool look.  Textile upper provides an airy and lightweight fit. ",06.006.507.007.508.008.509.009.510.010.5,A3WM749LIt
20,Nike Air Max Up,Women's,White/Green Glow/Lilac,130.0,"Designed with comfort in mind, Nike’s Air Max Up shows off an innovative Air unit and bold colors inspired by women’s activist groups around the world.  Upper features leather and textile materials. Slim silhouette includes an extended heel design. Foam midsole is soft, supportive, and comfortable. Larger Nike Air unit is framed with vivid TPU accents. ",05.005.506.006.507.007.508.008.509.009.510.010.511.012.0,Z1639100Designed
21,Birkenstock Arizona Platform,Women's,Black/Black,100.0,"Reach new heights with the Birkenstock Arizona Platform. Designed with a contoured footbed that supports feet arches and cradles the heel, these quality sandals generate comfort. •    Shock absorbing EVA sole provides flexibility and durability.•    Two-layer jute fiber design wicks moisture and adds strength.•    Classic cork latex base offers maximum support.•    Microfiber in lined footbed gives comfort.•    Features Birko-Flor upper, and latex footbed midsole.•    German made. Weight: 10 oz.",06.007.008.009.010.011.0,10185200Reach
